fid,tree_id,aspect,quadrat_notes,quadrat_id
20,LAE1_TE,qe,Found L. pulmonaria,LAE1_TE_QE
21,LAE1_TW,qe,,LAE1_TW_QE
22,LAE1_TW,qs,,LAE1_TW_QS
23,LAE1_TW,qw,,LAE1_TW_QW
24,LAE1_TW,qn,,LAE1_TW_QN
25,LAE1_TS,qe,,LAE1_TS_QE
26,LAE1_TS,qs,,LAE1_TS_QS
27,LAE1_TS,qw,,LAE1_TS_QW
28,LAE1_TS,qn,,LAE1_TS_QN
29,LAE1_TE,qn,,LAE1_TE_QN
30,LAE1_TE,qs,,LAE1_TE_QS
31,LAE1_TE,qw,,LAE1_TE_QW
32,LAE1_TN,qs,,LAE1_TN_QS
33,LAE1_TN,qn,,LAE1_TN_QN
34,LAE1_TN,qe,,LAE1_TN_QE
35,LAE1_TN,qw,,LAE1_TN_QW
36,LAN1_TN,qs,I ACCIDENTLY LABELED THIS AS N ON THE PAPER ITS ACTUALLY S,LAN1_TN_QS
37,LAN1_TN,qe,Little speckle in cell 5,LAN1_TN_QE
38,LAN1_TN,qn,I WROTE S ON THE PAPER IT IS N THE PAPER IS WRONG,LAN1_TN_QN
39,LAN1_TN,qw,"If you get confused, W and E are correct on the paper. Only N and S are swapped",LAN1_TN_QW
40,LAN1_TE,qe,I did not circle E like I should have. The uncircled quadrat is East,LAN1_TE_QE
41,LAN1_TE,qs,Possible Lobaria and Sticta sightings. Confirm ,LAN1_TE_QS
42,LAN1_TE,qn,Likely cladonia,LAN1_TE_QN
43,LAN1_TE,qw,Abandoned due to safety concerns (sharp tree blocking access). One poorly taken photo,LAN1_TE_QW
44,LAN1_TS,qn,,LAN1_TS_QN
45,LAN1_TS,qe,,LAN1_TS_QE
46,LAN1_TS,qs,,LAN1_TS_QS
47,LAN1_TS,qw,,LAN1_TS_QW
48,LAN1_TW,qn,,LAN1_TW_QN
49,LAN1_TW,qe,".",LAN1_TW_QE
50,LAN1_TW,qs,,LAN1_TW_QS
51,LAN1_TW,qw,,LAN1_TW_QW
52,LAW1_TN,qn,,LAW1_TN_QN
53,LAW1_TN,qe,,LAW1_TN_QE
54,LAW1_TN,qs,,LAW1_TN_QS
55,LAW1_TN,qw,,LAW1_TN_QW
56,LAW1_TE,qn,,LAW1_TE_QN
57,LAW1_TE,qe,,LAW1_TE_QE
58,LAW1_TE,qs,,LAW1_TE_QS
59,LAW1_TE,qw,,LAW1_TE_QW
60,LAW1_TS,qn,Likely pulmonaria and sticta,LAW1_TS_QN
61,LAW1_TS,qe,,LAW1_TS_QE
62,LAW1_TS,qs,Likely sticta,LAW1_TS_QS
63,LAW1_TW,qn,,LAW1_TW_QN
64,LAW1_TW,qe,,LAW1_TW_QE
65,LAW1_TW,qs,,LAW1_TW_QS
66,LAW1_TW,qw,,LAW1_TW_QW
67,LAN2_TW,qn,,LAN2_TW_QN
68,LAN2_TW,qe,,LAN2_TW_QE
69,LAN2_TW,qs,,LAN2_TW_QS
70,LAN2_TW,qw,,LAN2_TW_QW
71,LAN2_TN,qn,,LAN2_TN_QN
72,LAN2_TN,qe,I swapped E and W on the paper so this one will be labeled W,LAN2_TN_QE
73,LAN2_TN,qw,I swapped E and W on the paper so this one will be labeled E,LAN2_TN_QW
74,LAN2_TN,qs,,LAN2_TN_QS
75,LAN2_TE,qw,Likely pulmonaria and sticta,LAN2_TE_QW
76,LAN2_TE,qn,On downward facing side. Likely sticta in V,LAN2_TE_QN
77,LAN2_TE,qe,,LAN2_TE_QE
78,LAN2_TE,qs,Upward facing side. V mossy,LAN2_TE_QS
79,LAN3_TN,qn,,LAN3_TN_QN
80,LAN3_TN,qe,,LAN3_TN_QE
81,LAN3_TN,qs,,LAN3_TN_QS
82,LAN3_TN,qw,,LAN3_TN_QW
83,LAN3_TE,qn,Somehow I messed up both tree and quadrat here so to be clear what I put on the notepad as TW_QS is actually TE_QN. I fixed the tree but QS and QN are swapped,LAN3_TE_QN
84,LAN3_TE,qe,,LAN3_TE_QE
85,LAN3_TE,qs,On the notepad I circled N,LAN3_TE_QS
86,LAN3_TE,qw,,LAN3_TE_QW
